DISTSANIT	        ;        Total ; <1; 	 01-04;  	05-09;   10-14; 15-19;  20-24;	25-29; 	30-34; 	 35-39;	 40-44;	45-49; 	 50-54;  55-59;	 60-64;  65-69;	 70-74;	75-79; 	 80+ 
1 -Centro Histórico     ;	76751  ; 655 ; 	2577;	3565;	4404;	5714;	7855;	8003;	6717;	5382;	5372;	5370;	5028;	4043;	3236;	2418;	2131;	1675;	2606
2 - Itapagipe           ;	173442 ; 1910;	8027;	10994;	13544;	13851;	15249;	16989;	15691;	13519;	13566;	12317;	10335;	7750;	5911;	4301;	3629;	2607;	3252
3 - São Caetano/Valéria ;	274942 ; 3558;	15036;	20846;	24349;	23849;	24980;	28823;	27177;	23431;	21008;	17251;	13924;	9891;	7135;	4935;	3794;	2352;	2603
4 - Liberdade           ;	191609 ; 2038;	8825;	12239;	14434;	15120;	16855;	19871;	18077;	14982;	14507;	13652;	11646;	8625;	6346;	4553;	3759;	2736;	3344
5 - Brotas              ;	217100 ; 2401;	9315;	12448;	14849;	16146;	19841;	22705;	20845;	17880;	17104;	15782;	13469;	10190;	7487;	5232;	4263;	3192;	3951
6 - Barra/Rio Vermelho  ;	361932 ; 3495;	13470;	17789;	21323;	25105;	34207;	37902;	33989;	27957;	26211;	25630;	23281;	19183;	15561;	11554;	9471;	6817;	8987
7 - Boca do Rio  	;        134907; 1523;	5975;	7516;	8694;	9720;	13231;	15104;	13983;	11207;	10031;	9531;	8362;	6778;	4835;	3037;	2179;	1402;	1799
8 - Itapoã              ; 	267221 ; 3441;	14442;	19180;	21896;	22207;	25355;	28659;	26682;	21567;	19570;	17517;	14893;	11445;	7572;	4905;	3293;	2151;	2446
9 - Cabula/Beirú        ;	412053 ; 5521;	21526;	28897;	33588;	33981;	40442;	47153;	44039;	35179;	30567;	25144;	21353;	16026;	11391;	7100;	4555;	2681;	2910
10 - Pau da Lima        ;	233551 ; 3334;	12910;	17212;	19732;	19698;	22378;	25989;	24560;	20144;	17443;	14352;	11593;	8496;	5953;	3943;	2577;	1589;	1648
11- Subúrbio Ferroviário; 	343995 ; 4843;	19623;	26960;	31002;	31040;	32279;	35995;	32583;	27284;	24499;	21032;	17654;	13163;	9303;	6213;	4473;	2843;	3206
12 - Cajazeiras         ;	169826 ; 2352;	9691;	13094;	15290;	14831;	15968;	17989;	16731;	13710;	12262;	10855;	9538;	6892;	4329;	2544;	1645;	1020;	1085
